"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" ","Cabinteely, D.M.R. Eastern Division",30
" ","Cabra, D.M.R. Western Division",24
" ","Caherciveen, Kerry Division",6
" ","Caherconlish, Limerick Division",2
" ","Cahir, Tipperary Division",6
" ","Callan, Kilkenny/Carlow Division",6
" ","Campile, Wexford Division",5
" ","Cappamore, Limerick Division",1
" ","Cappawhite, Tipperary Division",3
" ","Cappoquin, Waterford Division",6
" ","Carbury, Kildare Division",4
" ","Carlingford, Louth Division",8
" ","Carlow, Kilkenny/Carlow Division",47
" ","Carna, Galway Division",1
" ","Carndonagh, Donegal Division",10
" ","Carnew, Wicklow Division",2
" ","Carraig Airt, Donegal Division",4
" ","Carrickbyrne, Wexford Division",3
" ","Carrickmacross, Cavan/Monaghan Division",22
" ","Carrick-on-Bannow, Wexford Division",3
" ","Carrick-On-Shannon, Sligo/Leitrim Division",17
" ","Carrick-On-Suir, Tipperary Division",20
" ","Carrigaline, Cork City Division",11
" ","Carrigallen, Sligo/Leitrim Division",1
" ","Carrigans, Donegal Division",3
" ","Carrigtwohill, Cork North Division",8
" ","Cashel, Tipperary Division",9
" ","Castlebar, Mayo Division",51
" ","Castlebellingham, Louth Division",3
" ","Castleblayney, Cavan/Monaghan Division",21
" ","Castlebridge, Wexford Division",5
" ","Castlecomer, Kilkenny/Carlow Division",12
" ","Castleconnell, Limerick Division",7
" ","Castledermot, Kildare Division",12
" ","Castlefin, Donegal Division",4
" ","Castlegregory, Kerry Division",2
" ","Castleisland, Kerry Division",9
" ","Castlemaine, Kerry Division",4
" ","Castlepollard, Westmeath Division",1
" ","Castlerea, Roscommon/Longford Division",61
" ","Castletownbere, Cork West Division",5
" ","Castletownroche, Cork North Division",2
" ","Cavan, Cavan/Monaghan Division",52
" ","Celbridge, Kildare Division",25
" ","Charlestown, Mayo Division",2
" ","Charleville, Cork North Division",12
" ","Cill Ronain, Galway Division",3
" ","Clane, Kildare Division",6
" ","Clara, Laois/Offaly Division",7
" ","Claremorris, Mayo Division",10
" ","Clifden, Galway Division",11
" ","Cloch na Ron, Galway Division",1
" ","Cloghan, Co. Offaly, Laois/Offaly Division",3
" ","Clogheen, Co. Tipperary, Tipperary Division",2
" ","Clogher, Donegal Division",0
" ","Clogherhead, Louth Division",2
" ","Clonakilty, Cork West Division",19
" ","Clonark, Roscommon/Longford Division",0
" ","Clonaslee, Laois/Offaly Division",0
" ","Clonbologue, Laois/Offaly Division",4
" ","Clondalkin, D.M.R. Western Division",62
" ","Clones, Cavan/Monaghan Division",18
" ","Clonmany, Donegal Division",0
" ","Clonmel, Tipperary Division",53
" ","Clonroche, Wexford Division",1
" ","Clontarf, D.M.R. Northern Division",38
" ","Cloughjordan, Tipperary Division",0
" ","Cloyne, Cork North Division",1
" ","Coachford, Cork West Division",3
" ","Cobh, Cork North Division",25
" ","Collon, Louth Division",1
" ","Collooney, Sligo/Leitrim Division",8
" ","Cong, Mayo Division",0
" ","Convoy, Donegal Division",6
" ","Coolaney, Sligo/Leitrim Division",0
" ","Coolock, D.M.R. Northern Division",86
" ","Cootehill, Cavan/Monaghan Division",6
" ","Corofin Co. Clare, Clare Division",3
" ","Corofin Co. Galway, Galway Division",3
" ","Courtown Harbour, Wexford Division",12
" ","Craughwell, Galway Division",1
" ","Creggs, Galway Division",1
" ","Crookstown, Cork West Division",13
" ","Croom, Limerick Division",8
" ","Crosshaven, Cork City Division",4
" ","Crossmolina, Mayo Division",3
" ","Crumlin, D.M.R. Southern Division",44
" ","Crusheen, Clare Division",0
" ","Daingean, Laois/Offaly Division",2
" ","Delvin, Westmeath Division",2
" ","Dingle, Kerry Division",12
" ","Dolla, Tipperary Division",0
" ","Donegal Town, Donegal Division",13
" ","Doneraile, Cork North Division",0
" ","Donnybrook, D.M.R. South Central Division",29
" ","Douglas, Cork City Division",39
" ","Dowra, Cavan/Monaghan Division",0
" ","Drimoleague, Cork West Division",0
" ","Drinagh, Cork West Division",1
" ","Drogheda, Louth Division",99
" ","Drumad, Louth Division",2
" ","Drumcollogher, Limerick Division",2
" ","Drumlish, Roscommon/Longford Division",6
" ","Drumshambo, Sligo/Leitrim Division",1
" ","Dublin Airport, D.M.R. Northern Division",5
" ","Duleek, Meath Division",7
" ","Dun Fionnachaid, Donegal Division",3
" ","Dun Laoghaire, D.M.R. Eastern Division",78
" ","Dunboyne, Meath Division",16
" ","Duncannon, Wexford Division",5
" ","Dundalk, Louth Division",104
" ","Dundrum, D.M.R. Eastern Division",64
" ","Dungarvan, Waterford Division",34
" ","Dunlavin, Wicklow Division",0
" ","Dunleer, Louth Division",8
" ","Dunmanway, Cork West Division",5
" ","Dunmore East, Waterford Division",3
" ","Dunmore, Galway Division",0
" ","Dunshaughlin, Meath Division",13
" ","Durrow, Laois/Offaly Division",1
" ","Durrus, Cork West Division",1
" ","Edenderry, Laois/Offaly Division",29
" ","Edgeworthstown, Roscommon/Longford Division",18
" ","Elphin, Roscommon/Longford Division",1
" ","Emly, Tipperary Division",1
" ","Emyvale, Cavan/Monaghan Division",2
" ","Enfield, Meath Division",3
" ","Ennis, Clare Division",56
" ","Enniscorthy, Wexford Division",39
" ","Enniscrone, Sligo/Leitrim Division",5
" ","Enniskerry, Wicklow Division",2
" ","Ennistymon, Clare Division",10
" ","Eyrecourt, Galway Division",0
" ","Farranfore, Kerry Division",0
" ","Ferbane, Laois/Offaly Division",5
" ","Fermoy, Cork North Division",20
" ","Ferns, Wexford Division",4
" ","Ferrybank, Waterford Division",8
" ","Fethard, Tipperary Division",0
" ","Finglas, D.M.R. Western Division",67
" ","Fitzgibbon Street, D.M.R. North Central Division",86
" ","Foxford, Mayo Division",0
" ","Foynes, Limerick Division",7
" ","Frenchpark, Roscommon/Longford Division",5
" ","Freshford, Kilkenny/Carlow Division",1
" ","Gaillimh, Galway Division",135
" ","Garristown, D.M.R. Northern Division",5
" ","Glanmire, Cork City Division",21
" ","Glantaine, Cork North Division",9
" ","Glasson, Westmeath Division",1
" ","Gleann na Muaidhe, Mayo Division",0
" ","Glenamaddy, Galway Division",3
" ","Glenbeigh, Kerry Division",2
" ","Glengarriff, Cork West Division",1
" ","Glenmore, Kilkenny/Carlow Division",1
" ","Glin, Limerick Division",0
" ","Glynn, Wexford Division",0
" ","Gob an Choire, Mayo Division",1
" ","Golden, Tipperary Division",1
" ","Goresbridge, Kilkenny/Carlow Division",0
" ","Gorey, Wexford Division",29
" ","Gort, Galway Division",10
" ","Graiguenamanagh, Kilkenny/Carlow Division",3
" ","Granard, Roscommon/Longford Division",9
" ","Grange, Sligo/Leitrim Division",3
" ","Greystones, Wicklow Division",28
" ","Gurranabraher, Cork City Division",61
" ","Gurteen, Sligo/Leitrim Division",0
" ","Hackballscross, Louth Division",0
" ","Hacketstown, Kilkenny/Carlow Division",1
" ","Headford, Galway Division",9
" ","Henry Street, Limerick Division",115
" ","Holycross, Tipperary Division",2
" ","Hospital Co Limerick, Limerick Division",4
" ","Howth, D.M.R. Northern Division",11
" ","Indreabhain, Galway Division",2
" ","Innishannon, Cork West Division",1
" ","Irishtown, D.M.R. South Central Division",15
" ","Kanturk, Cork North Division",9
" ","Keadue, Roscommon/Longford Division",0
" ","Kealkil, Cork West Division",1
" ","Keel, Mayo Division",2
" ","Kells Ceanannus Mor, Meath Division",23
" ","Kenagh, Roscommon/Longford Division",0
" ","Kenmare, Kerry Division",5
" ","Kerrykeel, Donegal Division",3
" ","Kevin Street, D.M.R. South Central Division",110
" ","Kilbeggan, Westmeath Division",7
" ","Kilbrittain, Cork West Division",2
" ","Kilcock, Kildare Division",10
" ","Kilconnell, Galway Division",1
" ","Kilcormac, Laois/Offaly Division",1
